id,name
1010001,"Seisho Music Academy"
1010002,"Knight of the Sun Nation"
1010003,"Musketeer d'Artagnan"
1010004,"Arthur"
1010005,"Red-Nosed Reindeer"
1010006,"Sherlock Holmes"
1010007,"Da Vinci"
1010008,"Apollo"
1010009,"Zorro"
1010010,"Initial Guitar Vocals"
1010011,"Seisho Music Academy"
1010012,"Seisho Music Academy"
1010013,"Vampire"
1010014,"Wheel of Fortune"
1010015,"Pajama Party"
1010016,"Scheherazade"
1010017,"Stage Girl"
1010018,"Akechi Mitsuhide"
1010019,"Romeo"
1010020,"Okuninushi"
1010021,"Officer Aijo"
1010022,"Pudding à la mode"
1010023,"Princess Karen"
1010024,"The Last Line"
1010026,"Nero"
1010028,"Taurus"
1010030,"Musketeer d'Artagnan Encore"
1020001,"Seisho Music Academy"
1020002,"Knight of the Black Lion Nation"
1020003,"Musketeer Athos"
1020004,"Tower"
1020005,"Amaterasu"
1020006,"Heartfelt Cooking"
1020007,"Bride June"
1020008,"Mona Lisa"
1020009,"Orion"
1020010,"Gawain"
1020011,"Sherlock Holmes"
1020012,"Sleeping Beauty"
1020013,"Initial Guitar"
1020014,"Seisho Music Academy"
1020015,"Seisho Music Academy"
1020016,"Castaway"
1020017,"Stage Girl"
1020018,"Oda Nobunaga"
1020019,"Sakura Shinguji"
1020020,"Baseball Girl"
1020021,"Gretel"
1020022,"Sherlock"
1020023,"Hero"
1020024,"The Last Line"
1020025,"Heartfelt Cooking Encore"
1020026,"Carmen"
1020028,"銃士アトス Encore"
1030001,"Seisho Music Academy"
1030002,"Knight of the Sun Nation"
1030003,"Musketeer Porthos"
1030004,"Lancelot"
1030005,"Holy Night Santa Claus"
1030006,"Hermit"
1030007,"Professor Moriarty"
1030008,"Ahiru Kurosawa"
1030009,"Salaì"
1030010,"Cinderella"
1030011,"Priestess Hifumi"
1030012,"The Little Mermaid"
1030013,"Cheshire Cat"
1030014,"Mirai"
1030015,"Seisho Music Academy"
1030016,"Seisho Music Academy"
1030017,"Stage Girl"
1030018,"Jeanne d'Arc"
1030019,"Sanada Yukimura"
1030020,"Baseball Girl"
1030021,"Konohanasakuya-hime"
1030022,"Ishtar"
1030023,"Sorcerer"
1030024,"Co-Star Revue"
1030025,"Professor Moriarty Encore"
1030026,"Aquarius"
1030027,"Goddess of Compassion"
1030028,"Cupid"
1040001,"Seisho Music Academy"
1040002,"Knight of the Black Lion Nation"
1040003,"Red Duke Richelieu"
1040004,"Aladdin"
1040005,"Lovers"
1040006,"Watson"
1040007,"Nutcracker"
1040008,"Dracula"
1040009,"Tsukuyomi"
1040010,"The Fiend with Twenty Faces"
1040011,"Edward Teach"
1040012,"Seisho Music Academy"
1040013,"Seisho Music Academy"
1040014,"Percival"
1040015,"Symphogear"
1040016,"Uesugi Kenshin"
1040017,"Stage Girl"
1040018,"Bombardier Saijo"
1040019,"Delight"
1040020,"Oscar"
1040021,"Oscar Respect Ver."
1040022,"Capricorn"
1040023,"Dancer"
1040024,"Soul Revue"
1040025,"Tsukuyomi Encore"
1040027,"Goddess of Hope"
1040028,"Onikage"
1040031,"Black Lion Nation Knight Encore"
1050001,"Seisho Music Academy"
1050002,"Sun Nation General"
1050003,"Genie of the Lamp"
1050004,"Maid Melissa"
1050005,"Tamamo-no-Mae"
1050006,"Amaterasu"
1050007,"World"
1050008,"Susanowo"
1050009,"Tristan"
1050010,"Zeus"
1050011,"Kikyo Uesugi"
1050012,"Groom Edward"
1050013,"Heracles"
1050014,"Seisho Music Academy"
1050015,"Seisho Music Academy"
1050016,"Symphogear"
1050017,"Stage Girl"
1050018,"Takeda Shingen"
1050019,"André"
1050020,"Baumkuchen"
1050022,"Tragic General Mariavera"
1050023,"Warrior"
1050024,"Sun Wukong"
1050025,"Soul Revue"
1050026,"Maid Melissa Encore"
1050027,"Goddess of Pride"
1050028,"Queen of Hearts"
1060001,"Seisho Music Academy"
1060002,"Knight of the Black Lion Nation"
1060003,"Musketeer Aramis"
1060004,"Christine"
1060005,"Robin Hood"
1060006,"Happy Valentine"
1060007,"Minamo Okino"
1060008,"Rapunzel"
1060009,"Belle"
1060010,"Dr. Jekyll"
1060011,"Seisho Music Academy"
1060012,"Seisho Music Academy"
1060013,"Jo"
1060014,"School Idol"
1060015,"High Priestess"
1060016,"Viviane"
1060017,"Stage Girl"
1060018,"Mad Scientist"
1060019,"Mori Motonari"
1060020,"Baseball Girl"
1060021,"Anastasia"
1060022,"Baldr"
1060023,"Sage"
1060024,"Hunting Revue"
1060025,"Sagittarius"
1060027,"Goddess of Passion"
1070001,"Seisho Music Academy"
1070002,"Knight of the Sun Nation"
1070003,"Phantom"
1070004,"Justice"
1070005,"Mafia Princess Elena"
1070006,"Miyamoto Musashi"
1070007,"Momo Amami"
1070008,"Beast"
1070009,"Christmas Onana"
1070010,"Merlin"
1070011,"Happy Prince"
1070012,"Seisho Music Academy"
1070013,"Seisho Music Academy"
1070014,"School Idol"
1070015,"Izanagi"
1070016,"Ashikaga Yoshiteru"
1070017,"Stage Girl"
1070018,"Mad Scientist"
1070019,"Helldiver"
1070020,"Siegfried"
1070021,"Fruits Tart"
1070022,"レオ"
1070023,"Demon King"
1070024,"Hunting Revue"
1070025,"Phantom Encore"
1070027,"Tower Guidance"
1070028,"Kung Fu Star"
1080001,"Seisho Music Academy"
1080002,"Knight of the Sun Nation"
1080003,"Puss in Boots"
1080004,"Strength"
1080005,"Shimizu no Jirocho"
1080006,"Bride Yuno"
1080007,"Teumessian Fox"
1080008,"Fairy Puck"
1080009,"Galahad"
1080010,"Seisho Music Academy"
1080011,"Seisho Music Academy"
1080012,"School Idol"
1080013,"Honda Tadakatsu"
1080014,"Sei Shonagon"
1080015,"Kagutsuchi"
1080016,"Stage Girls Collection"
1080017,"Stage Girl"
1080018,"騎士団長カタリーナ"
1080023,"Martial Artist"
1080024,"Resentment Revue"
1080025,"Kogoro Akechi"
1080026,"Bride Yuno Encore"
1080027,"Goddess of Belief"
1090001,"Seisho Music Academy"
1090002,"Black Lion Nation General"
1090003,"Mischievous Bat Witch"
1090004,"Don Salvatore"
1090005,"玉椿の君"
1090006,"Laelaps Hound"
1090007,"Marie Antoinette"
1090008,"Seisho Music Academy"
1090009,"Seisho Music Academy"
1090010,"Castaway"
1090011,"School Idol"
1090012,"Izanami"
1090013,"Devil"
1090014,"Mordred"
1090015,"Tokugawa Ieyasu"
1090016,"Murasaki Shikibu"
1090017,"Stage Girl"
1090018,"White Santa"
1090019,"Ice Cream"
1090020,"Stage Girls Collection"
1090021,"Fourth Zodiac Rabbit"
1090022,"Rebellious General Catalina"
1090023,"Merchant"
1090024,"Resentment Revue"
1090025,"Don Salvatore Encore"
1090026,"Anastasia"
1090027,"Goddess of Courage"
1090028,"Sea God Heir"
2010001,"Rinmeikan Girls School"
2010002,"Ghost Patrol Squad Deputy Captain"
2010003,"Musashibo Benkei"
2010004,"Paddle Battle?!"
2010005,"Otohime"
2010006,"Teumessian Fox"
2010007,"Momotaro"
2010008,"Rinmeikan Girls School"
2010009,"Rinmeikan Girls School"
2010010,"Initial Keyboard"
2010011,"Reika Jinguji"
2010012,"Evil Banishing Komachi"
2010013,"Princess Kaguya"
2010014,"Hijikata Toshizo"
2010015,"Death"
2010016,"Pajama Party"
2010017,"Stage Girl"
2010018,"Persephone"
2010019,"Witch"
2010021,"Pisces"
2010022,"最強の音楽"
2010023,"Beautiful Woman"
2020001,"Rinmeikan Girls School"
2020002,"Ghost Patrol Squad Captain"
2020003,"Sun"
2020004,"Winged Tengu"
2020005,"Angelic Song"
2020006,"Ryugu Dancer"
2020007,"Priestess Hitsuki"
2020008,"Diaochan"
