id,name
1000001,"Cute Chick Towel"
1000002,"Fumi's Favorite Chilled Ponzu"
1000003,"Cactus in a Cat Pot"
1000004,"Classic Treasure Chest"
1000005,"Ultimate Yakisoba & Bun"
1000006,"Aruru's Notebook Scribblings"
1000007,"Tools for Making Dreams"
1000008,"Mei Fan's Capsule Toys"
1000009,"Stage Girl Recovery Set"
1000010,"Golden Opera Glasses"
1000011,"Position Zero in the Rehearsal Room"
1000012,"A New Roommate?"
1000013,"Play Ball!"
1000014,"Warm Kitsune Udon"
1000015,"Hikari's Barrette"
1000016,"The 100th Seisho Festival is Soon"
1000017,"The Play ""Starlight"""
1000018,"Hikari Kagura's Stage of Fate"
1000019,"Waiting for Them"
2000001,"Elegant Tea Set"
2000002,"Great Harp of Elysion"
2000003,"Marilyn, the Captain's Parrot Pal"
2000004,"Ghost Patrol Story Props"
2000005,"The Wartime of Farewells Flag"
2000006,"Laurels of Brilliance"
2000007,"Sushi"
2000008,"The Underground Theater"
2000010,"Gratitude or a Challenge?"
2000011,"Dance Practice"
2000012,"Head of the 99th Class"
2000013,"To the Stage"
2000014,"The Day Fates were Traded"
2000015,"Unexpected Ally"
2000016,"50 Yen Taxi Fare!"
2000017,"The Face Under the Helmet"
2000018,"It's So Bright..."
2000019,"The Repeat Performance She Wants"
2000020,"Even If We're Apart"
2000021,"Oui!"
2000022,"Searching for Her"
2000023,"Until the World is Turned to Ash"
2000024,"Revue of Jealousy"
2000025,"The Star Knows"
2000026,"After the Curtain Goes Down"
2000027,"Six Sinful Goddesses"
2000028,"Pride and Arrogance"
2000029,"Bana-nice!"
2000030,"We Know"
2000031,"Stage Left for Two"
2000032,"Our Promise"
2000033,"Our Starlight"
2000034,"Revue Duet"
2000035,"Maya Tendo Has Lost to No One"
2000036,"Revue of Tragedy"
2000037,"Our Star, Our Fate"
3000001,"Futaba's Gift"
3000002,"Sunlit Milk Break"
3000003,"Smirking Behind the Pillar"
3000004,"A Sunny Day for Laundry"
3000005,"A Passionate Gaze"
3000006,"A Surprising Skill"
3000007,"Balancing the Budget"
3000008,"Looking Fresh in the Mirror"
3000009,"Platinum on Ice"
3000010,"Sewing's My Forte"
3000011,"Flexible Girl from China"
3000012,"A Fan-tea-stic Tasting"
3000013,"Glittering Fish Tanks, Glittering Eyes"
3000014,"Sweet but Dangerous"
3000015,"Trendy Snacks"
3000016,"Empress of the Digital World"
3000017,"Bunnies Everywhere!"
3000018,"A Green Thumb's Delight"
3000019,"Martial and Dramatic Arts"
3000020,"Not a Late Riser, Just a Night Owl"
3000021,"The Idol of the Room"
3000022,"Intruder in the Girls' Changing Room!?"
3000023,"Ample Athletic Ability"
3000024,"Just the Thing After Practice"
3000025,"After-School Boot Camp"
3000026,"Hard Work Behind the Scenes"
3000027,"The Allure of Anmitsu"
3000028,"A Mild-Mannered Girl's Getting Heated Up!"
3000029,"Screams Echoing Through the Night"
3000030,"So Many Frogs to Choose From"
3000031,"Thorough Maintenance"
3000032,"Choosing a Frame Carefully"
3000033,"A Gift for Someone Precious"
3000034,"Witch Twins Unite!"
3000035,"Banana's Pumpkins"
3000036,"The Opera House Expert"
3000037,"Trying Out the Mask"
3000038,"The School Trip"
3000039,"Tengu's Handiwork"
3000040,"A Moment in the Living Room"
3000041,"Making Progress"
3000042,"月刊ブシロード12月号連動記念"
3000043,"Arabian Scarves"
3000044,"Recreating that Play?"
3000045,"Trimming the Tree"
3000046,"Nana's Special Christmas Lunch"
3000047,"Wrapping Up the Year"
3000048,"Dynamic Mochi Making"
3000049,"Testing Luck in the New Year"
3000050,"Idle Banter for Two"
3000051,"The Glass Slipper's Unchosen"
3000052,"Serious Practice"
3000053,"A Little Friend on a Snowy Day"
3000054,"Stretching Help...?"
3000055,"Sweet Days"
3000056,"Midnight Sewing"
3000057,"Surprise Chocolate"
3000059,"A Mysterious Second-hand Shop"
3000060,"Moment of Relaxation on a Trip"
3000061,"Cooking Class, Now In Session♪"
3000062,"A Heartfelt Message"
3000063,"The Costume Shop's Etude"
3000064,"Sunset Mirage"
3000065,"Found an Egg!"
3000066,"An Egg Colored Just Like I Like"
3000067,"Player-Manager Mahiru Tsuyuzaki"
3000068,"Adorning Her Feet"
3000069,"Solo Show Under the Cherry Blossoms!"
3000070,"Present for the Detective"
3000071,"Detective Karen!"
3000072,"駅前で、待ってる。"
3000073,"Moment at Dusk"
3000074,"This'll Make You Feel Better"
3000075,"Get Well Soon"
3000076,"Our Clara"
3000077,"Naughty Ninja on the Run!"
3000078,"Truth of the Mizugumo"
3000081,"Carry the Hopes...?"
3000082,"The Best Bride"
3000084,"Cat Research!"
3000085,"Tower of Cards"
3000089,"Legendary Trial - Suzudaru Cat"
3000090,"Stage Girls' Desires"
3000091,"Helping Hikoboshi"
3000092,"Poolside Improv"
3000093,"Secret Swimming Practice"
3000094,"I Can't Help that I Had Fun"
3000095,"Exciting Lunchbox"
3000096,"Contagious Passion"
3000097,"Renaissance Croquette...!?"
3000098,"With All Her Heart"
3000099,"Visit the Shrine in Kimono"
3000100,"Even the party—!?"
4000001,"Clear Skies over Tea Time"
4000002,"Summertime Pool Cleaning"
4000003,"Banana's Strawberry Sweets"
4000004,"Exhibition or Not, I'm Coming For You!"
4000005,"Knights of Friendship and Sorrow"
4000006,"One for All"
4000007,"Keepers of the Peace"
4000008,"The Riches of the World Belong to Us"
4000009,"A Day in the Goddesses' Life"
4000010,"You Haven't Changed a Bit"
4000011,"Friends at the Aquarium"
4000012,"Good Service, Good Acting"
4000013,"You Need Friends for Clothes Shopping"
4000014,"Confidants on a Date"
4000015,"Recharging the Jellyfish Meter"
4000016,"Trick-or-Treat 2018"
4000017,"The First Snow"
4000018,"The Phantom and Christine"
4000020,"Starry Sky After the Rain"
4000021,"New Growth Takes Flight"
4000023,"Admiration for Yoshitsune"
4000024,"Mei Fan's Day Off"
4000025,"Delightful Detour"
4000026,"Enjoying Winter"
4000027,"Duet in the Moonlight"
4000028,"Merry Christmas 2018"
4000029,"The Great Year-End Cleanup"
4000030,"Hairdress to Success"
4000031,"Exciting Paddle Battle"
4000033,"New Year Essentials"
4000034,"The Hotpot Master"
4000035,"The New Cinderella: Champion of Justice!"
4000036,"A Warmed-up Engine"
4000038,"Arthur, King of the Prop Room!?"
4000039,"The Selfie-Master's Seminar"
4000040,"A Valentine's Ensemble"
4000041,"Beauty and the Elegant Beast"
4000042,"Searching for A Four-Leaf Clover"
4000043,"New Pop Music?"
4000044,"Hear My Angelic Song!"
4000045,"What's My Neighbor Reading?"
4000047,"The Young Lady's Knight"
4000048,"Until the Others Arrive"
4000049,"Happy Easter!"
4000050,"Cherry Blossoms in the Bento"
4000051,"Challenge for the Detective"
4000052,"Instant of Stillness and Motion"
4000053,"Different Expressions"
4000054,"Siegfeld General Hospital"
4000055,"Like a Butterfly, Like a Flower"
4000056,"Turbulent Ninja"
4000058,"The Frog Goods Are Here♪"
4000059,"Deux JUNO!? -June Bride-"
4000060,"Fun on a Day Off"
4000061,"Two in Wonderland"
4000062,"Kaoruko's Prized Treasure"
4000063,"Sudden Rain"
4000064,"ガルパ×スタリラ コラボ開催記念"
4000065,"Starlight Fest in USA Celebration"
4000066,"Day Off for Two"
4000067,"「カードキャプターさくら」衣裳"
4000068,"The Day Their Wish Comes True"
4000069,"-The LIVE-#2 revival公演記念"
4000070,"オールスタァライト配信記念"
4000071,"Summer Holiday"
4000072,"Ichie's Cool Hospitality☆"
4000073,"Synchro Girls!"
4000074,"Tamao's Summer Preparations"
4000075,"Urashima Taro Performance Flyer"
4000076,"Lured by Festival Music"
4000077,"Poolside Incident"
4000078,"みんなでお出迎え！"
4000079,"『戦姫絶唱シンフォギアAXZ』衣裳"
4000080,"Back to the Renaissance 2019"
4000081,"Moon Viewing"
4000082,"Sailor's Call"
4000083,"Time is Money!"
4000084,"Stage Girls Don't Know Compromise"
4000085,"Halloween Through the Glass"
4000086,"(1st Anniv.) Seisho Music Academy"
4000087,"(1st Anniv.) Siegfeld Institute of Music"
4000088,"(1st Anniv.) Rinmeikan Girls School"
4000089,"(1st Anniv.) Frontier School of Arts"
4000090,"Equine Friends!"
4000091,"""Starry Diamond"" Celebration"
4000092,"Brilliance of 24"
4000093,"Merry Christmas 2019"
4000094,"Dance for the Gods"
4000095,"Secret Sewing Class"
4000096,"Big Catch!"
4000097,"Prince and Princess Etude"
4000098,"Co-starring with Hatsune Miku!"
4000099,"Guitar Tale"
4000100,"Pro Skills"
4000101,"Bandsman's Greeting"
4000102,"Peculiar Fate"
4000103,"The Star We've Always Wanted"
4000104,"Blessed Dawn"
4000105,"Struggling for the ""Unknown Lead"""
4000106,"Waiting for You on Stage!"
4000107,"Sparkling Stage Chika"
4000108,"Sparkling Stage Karen"
4000109,"Sparkling Stage Hikari & Mahiru"
4000110,"Sparkling Stage Claudine & Maya"
4000111,"Chinatown Delicacies"
4000112,"Harvesting Potatoes"
4000113,"Take My Hand!"
4000114,"[Star of the day] Hikari Kagura"
4000115,"[Star of the day] Tsukasa Ebisu"
4000116,"[Star of the day] Fumi Yumeoji"
4000117,"[Star of the day] Michiru Otori"
4000118,"Reverberating Voice Tsubasa & Maya"
4000119,"Resonating Voice Maria & Claudine"
4000120,"[Star of the day] Kaoruko Hanayagi"
4000121,"[Star of the day] Koharu Yanagi"
4000122,"[Star of the day] Ichie Otonashi"
4000123,"Crazy Mad Scientist"
4000124,"Wisdom-Gathering Ark"
4000125,"Sunset Lab Mem Badge"
4000126,"[Star of the day] Lalafin Nonomiya"
4000127,"Training a Future Hero"
4000128,"[Star of the day] Futaba Isurugi"
4000129,"Reminiscence Melody"
4000130,"Creating ""Play A"""
4000131,"Pajama Party Karen & Tamao & Aruru"
4000132,"Pajama Party Akira & Koharu"
4000133,"[Star of the day] Mahiru Tsuyuzaki"
4000134,"[Star of the day] Aruru Otsuki"
4000135,"To the Wonderful World of Rakugo"
4000136,"Kappo Tomoye's Poster Girl"
4000137,"Sunny Lunchtime"
4000138,"[Star of the day] Yuyuko Tanaka"
4000139,"[Star of the day] Shiori Yumeoji"
4000140,"Hokkaido Nippon-Ham Fighters x Karen & Hikari"
4000141,"Saitama Seibu Lions x Mahiru"
4000142,"Chiba Lotte Marines x Claudine & Maya"
4000143,"Tohoku Rakuten Golden Eagles x Junna"
4000144,"Fukuoka SoftBank Hawks x Nana"
4000145,"ORIX Buffaloes x Futaba & Kaoruko"
4000146,"All for One"
4000147,"Unshakable Feelings"
4000148,"Audition of Resolve"
4000149,"For Our Special Place"
4000150,"Revue, Start!"
4000151,"King and Pioneer Etude"
4000152,"Menacing Tower"
4000153,"Unburned Flower, Unwithered Flame"
4000154,"Exciting Claw Machine"
4000155,"[Star of the day] Nana Daiba"
4000156,"Daydream Stage"
4000157,"To the Stage!"
4000158,"Small Dream"
4000159,"[Star of the day] Maya Tendo"
4000160,"VI Lovers [Upright]"
4000161,"VI Lovers [Reverse]"
4000162,"XII Hanged Man [Upright]"
4000163,"XII Hanged Man [Reverse]"
4000164,"[Star of the day] Claudine Saijo"
4000165,"[Star of the day] Shizuha Kocho"
4000166,"[Star of the day] Suzu Minase"
4000167,"XXII Faith [Upright]"
4000168,"XXII Faith [Reverse]"
4000169,"XXIV Charity [Upright]"
4000170,"XXIV Charity [Reverse]"
4000171,"Revue of Wisdom and Attachment"
4000172,"Revue of High Priestess and Devil"
4000173,"XVI Tower [Upright]"
4000174,"XVI Tower [Reverse]"
4000175,"XI Strength [Upright]"
4000176,"XI Strength [Reverse]"
4000177,"Peach Oath"
4000178,"Ⅴ Hierophant [Upright]"
4000179,"Ⅴ Hierophant [Reverse]"
4000180,"[Star of the day] Liu Mei Fan"
4000181,"Ohayo, bonjour ♪"
4000182,"Cleaning Together"
4000183,"Rare Co-star"
4000184,"[Star of the day] Karen Aijo"
4000185,"[Star of the day] Junna Hoshimi"
4000186,"[Star of the day] Misora Kano"
4000187,"Enchanting Spicy Curry"
4000188,"XX Judgement [Upright]"
4000189,"XX Judgement [Reverse]"
4000190,"XIX Sun [Upright]"
4000191,"XIX Sun [Reverse]"
4000192,"Revue of Contraction and Breakthrough"
4000193,"Revue of Hierophant and Chariot"
4000194,"Finally at Camp!"
4000195,"Bonding Dance"
4000196,"Moonlit Romeo and Juliet"
4000197,"""Golden Gunfight"""
4000198,"Brontier Girl"
4000199,"[Star of the day] Yachiyo Tsuruhime"
4000200,"IV Emperor [Upright]"
4000201,"IV Emperor [Reverse]"
4000202,"[Star of the day] Rui Akikaze"
4000203,"""Shinsengumi Rinpuden"""
4000204,"For the Shinsengumi!♪"
4000205,"[Star of the day] Tamao Tomoe"
4000206,"Ⅱ High Priestess [Upright]"
4000207,"Ⅱ High Priestess [Reverse]"
4000208,"[Star of the day] Akira Yukishiro"
4000209,"[Star of the day] Hisame Honami"
4000210,"""Sengoku Legend"""
4000211,"Unify the Nation!"
4000212,"[Star of the day] Karen & Hikari & Mahiru"
4000213,"[Star of the day] Claudine & Maya"
4000214,"[Star of the day] Junna & Nana"
4000215,"[Star of the day] Futaba & Kaoruko"
4000216,"[Star of the day] Rinmeikan Girls School"
4000217,"[Star of the day] Frontier School of Arts"
4000218,"[Star of the day] Siegfeld Institute of Music"
4000219,"[Star of the day] Seiran General Art Institute"
4000220,"Brilliant Birthday Hikari Kagura"
4000221,"0 Fool [Upright]"
4000222,"0 Fool [Reverse]"
4000223,"Brilliance Birthday Tsukasa Ebisu"
4000224,"XXIII Hope [Upright]"
4000225,"XXIII Hope [Reverse]"
4000226,"Revue of Distortion and Equilibrium"
4000227,"Revue of Hermit and Justice"
4000228,"IX Hermit [Upright]"
4000229,"IX Hermit [Reverse]"
4000230,"Brilliance Birthday Fumi Yumeoji"
4000231,"X Wheel of Fortune [Upright]"
4000232,"X Wheel of Fortune [Reverse]"
4000233,"Old Humanity VS New Humanity"
4000234,"Sisters Watching Professional Wrestling"
4000235,"XIV Temperance [Upright]"
4000236,"XIV Temperance [Reverse]"
4000237,"VII Chariot [Upright]"
